Component,Filename,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,species,sex,age,ageUnit,diagnosis,nf1Genotype,nf2Genotype,tumorType,modelSystemName,organ,comments,parentSpecimenID,specimenID,aliquotID,platform,nucleicAcidSource,specimenPreparationMethod,specimenType,runType,libraryStrand,libraryPrep,libraryPreparationMethod,readPair,readLength,readDepth,targetDepth,batchID,genePerturbed,genePerturbationType,genePerturbationTechnology,experimentalCondition,isCellLine,eTag,fundingAgency,studyId,studyName,initiative,entityId
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016798_SRR31653912_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276314,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample V2, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276314,GSM8674105: V2,SRR31653912_V2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653912,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (V2),No,64cb2c12-0f08-4687-8e22-d305a7bc509f,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647650
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016808_SRR31653902_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276302,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens sample PDX16-V1, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276302,GSM8674115: PDX16-V1,SRR31653902_PDX16-V1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653902,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (PDX16-V1),No,ae93702e-146e-412b-8c87-4b58b70d9f4c,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647651
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016803_SRR31653907_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276308,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S1, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276308,GSM8674110: S1,SRR31653907_S1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653907,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S1),No,1170cbfc-beb6-4faf-9ad8-6fb787a5a4a2,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647652
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016807_SRR31653903_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276304,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens sample PDX16-V3, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276304,GSM8674114: PDX16-V3,SRR31653903_PDX16-V3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653903,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (PDX16-V3),No,b8f786a0-7a56-4425-99aa-a1372c321fec,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647653
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016803_SRR31653907_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276308,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S1, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276308,GSM8674110: S1,SRR31653907_S1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653907,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S1),No,4b2d97b7-6b5c-48ec-9330-6ea4d8cb2f4a,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647654
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016801_SRR31653909_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276311,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S6, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276311,GSM8674108: S6,SRR31653909_S6,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653909,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S6),No,fefaee31-04e5-4a21-9dcb-4b43929eee5f,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647655
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016798_SRR31653912_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276314,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample V2, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276314,GSM8674105: V2,SRR31653912_V2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653912,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (V2),No,efd936b1-31b9-4a61-bf9c-0c300ecc334f,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647656
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016802_SRR31653908_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276309,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S4, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276309,GSM8674109: S4,SRR31653908_S4,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653908,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S4),No,b36ae757-974b-4aea-b32a-2a5386dcd731,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647657
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016804_SRR31653906_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276307,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample V1, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276307,GSM8674111: V1,SRR31653906_V1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653906,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (V1),No,d28ec2d8-7487-4531-b290-171011c8b29b,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647658
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016800_SRR31653910_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276312,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S2, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276312,GSM8674107: S2,SRR31653910_S2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653910,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S2),No,43ca883d-dc05-40bc-9815-0e61ab75d4ff,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647659
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016800_SRR31653910_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276312,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample S2, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance mechanisms and potential therapeutic combinations.",SAMN45276312,GSM8674107: S2,SRR31653910_S2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653910,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,f6982a58-2052-4964-ad06-71194cbd1776,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647660
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016799_SRR31653911_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276313,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample V3, from a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and combination therapies for these aggressive sarcomas.",SAMN45276313,GSM8674106: V3,SRR31653911_V3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653911,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,c46607f9-185b-4bcf-9444-8a1dd311c17f,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647661
